engagement_id,client_id,service_type,partner_assigned,start_date,end_date
90,9,Risk Assessment,Partner H,2024-01-25,2024-08-03
91,31,Management Consulting,Partner A,2023-05-11,2023-06-20
92,27,Tax Advisory,Partner A,2023-12-25,2024-07-09
93,51,IT Advisory,Partner H,2024-01-30,2024-09-04
94,24,Risk Assessment,Partner B,2023-08-13,2023-10-03
95,20,Risk Assessment,Partner G,2024-01-04,2024-05-07
96,5,Tax Advisory,Partner A,2023-05-17,2023-07-05
97,51,IT Advisory,Partner B,2023-02-09,2023-07-15
98,46,Management Consulting,Partner A,2023-02-18,2023-10-18
99,3,Management Consulting,Partner F,2023-08-12,2023-09-20
100,27,Tax Advisory,Partner E,2024-03-27,2024-07-20
101,29,Audit,Partner D,2023-03-05,2023-11-13
102,29,Tax Advisory,Partner B,2023-08-16,2023-11-16
103,56,Management Consulting,Partner A,2023-12-19,2024-02-08
104,10,Risk Assessment,Partner E,2023-04-12,2023-08-27
105,19,Risk Assessment,Partner B,2023-12-27,2024-05-17
106,11,Audit,Partner E,2023-06-02,2023-11-28
107,15,IT Advisory,Partner F,2024-02-09,2024-05-14
108,55,Audit,Partner G,2023-10-17,2024-06-22
109,57,IT Advisory,Partner D,2023-10-01,
110,3,Tax Advisory,Partner A,2023-03-30,2023-06-26
111,38,Management Consulting,Partner C,2023-08-20,2024-04-26
112,14,IT Advisory,Partner G,2024-03-04,2024-10-31
113,12,Management Consulting,Partner E,2023-01-10,2023-05-29
114,18,Risk Assessment,Partner E,2024-01-15,2024-02-09
115,12,Management Consulting,Partner D,2023-09-04,
116,30,Risk Assessment,Partner B,2023-12-26,2024-05-27
117,60,IT Advisory,Partner H,2023-11-28,2024-01-22
118,36,Tax Advisory,Partner G,2023-08-05,2024-01-24
119,44,IT Advisory,Partner H,2023-06-04,2024-01-11
120,30,Management Consulting,Partner G,2023-11-10,2023-12-25
121,1,Management Consulting,Partner C,2023-03-12,2023-09-21
122,6,Audit,Partner C,2023-10-20,2023-12-12
123,17,Audit,Partner B,2023-02-17,2023-09-04
124,15,Management Consulting,Partner H,2023-11-21,
125,51,Audit,Partner E,2023-11-11,2023-12-02
126,51,Risk Assessment,Partner D,2023-02-12,2023-10-21
127,52,Risk Assessment,Partner H,2024-01-14,2024-03-13
128,39,IT Advisory,Partner E,2023-07-27,2024-01-06
129,34,IT Advisory,Partner H,2024-01-29,
130,39,Management Consulting,Partner H,2023-01-21,2023-09-21
131,25,Audit,Partner A,2023-03-31,2023-10-14
132,41,Tax Advisory,Partner C,2023-09-04,2024-04-04
133,48,Management Consulting,Partner F,2023-04-05,
134,46,Risk Assessment,Partner G,2023-06-14,2023-10-24
135,37,Tax Advisory,Partner B,2023-11-27,
136,4,Management Consulting,Partner C,2023-03-14,2023-10-08
137,44,Tax Advisory,Partner E,2023-12-05,2024-07-15
138,22,Audit,Partner G,2023-02-21,2023-03-17
139,45,Audit,Partner A,2023-03-29,2023-09-24
140,33,Tax Advisory,Partner E,2023-10-21,2023-12-06
141,53,Audit,Partner C,2024-02-01,2024-04-30
142,21,Audit,Partner B,2023-03-27,
143,56,Tax Advisory,Partner E,2023-05-30,
144,51,Tax Advisory,Partner D,2024-04-07,
145,20,Management Consulting,Partner F,2024-05-09,2024-09-17
146,29,Audit,Partner C,2023-10-18,2024-01-01
147,32,Tax Advisory,Partner G,2023-08-12,2023-11-20
148,47,Management Consulting,Partner A,2023-06-23,2023-11-17
149,42,Risk Assessment,Partner G,2023-11-03,
150,52,IT Advisory,Partner A,2023-10-23,2024-04-05
151,23,Risk Assessment,Partner F,2023-05-28,2024-01-26
152,31,Tax Advisory,Partner C,2023-01-12,2023-08-28
153,26,Management Consulting,Partner D,2023-03-17,2023-10-03
154,55,Management Consulting,Partner A,2024-04-24,2024-10-05
155,19,Risk Assessment,Partner F,2023-07-29,
156,36,Risk Assessment,Partner B,2023-08-30,2023-12-27
157,8,Risk Assessment,Partner F,2023-08-22,2023-10-09
158,52,IT Advisory,Partner F,2024-01-27,2024-05-15
159,24,Management Consulting,Partner G,2023-02-02,2023-10-02
160,21,Management Consulting,Partner F,2023-02-11,2023-06-13
161,35,Risk Assessment,Partner C,2023-05-18,2023-07-04
162,30,Tax Advisory,Partner F,2023-09-01,2024-02-24
163,51,Tax Advisory,Partner G,2023-12-02,2024-08-09
164,32,Risk Assessment,Partner C,2023-09-03,2024-04-18
165,32,Tax Advisory,Partner A,2023-08-09,2023-11-02
166,7,Tax Advisory,Partner H,2024-04-13,2024-08-19
167,2,Management Consulting,Partner B,2023-03-22,2023-08-16
168,24,Tax Advisory,Partner E,2023-10-13,2023-12-31
169,60,Risk Assessment,Partner B,2023-09-29,
170,56,Risk Assessment,Partner B,2023-08-25,2023-11-09
171,38,Tax Advisory,Partner G,2024-02-08,
172,38,Management Consulting,Partner B,2023-05-14,2023-11-29
173,24,Risk Assessment,Partner F,2024-04-21,2024-11-28
174,11,IT Advisory,Partner F,2023-06-15,2024-01-16
175,1,Tax Advisory,Partner A,2023-09-30,
176,21,Management Consulting,Partner B,2023-09-18,2023-11-02
177,19,IT Advisory,Partner G,2024-02-29,2024-10-17
178,12,IT Advisory,Partner E,2023-08-08,2023-09-12
179,16,Audit,Partner A,2023-05-23,2023-10-04
180,2,Tax Advisory,Partner H,2023-01-11,2023-06-22
181,37,Risk Assessment,Partner C,2023-07-01,2023-10-14
182,56,Tax Advisory,Partner A,2024-02-18,2024-04-13
183,42,Tax Advisory,Partner H,2023-01-05,2023-03-12
184,27,Tax Advisory,Partner A,2024-03-24,2024-10-27
185,26,Audit,Partner E,2023-09-29,2024-01-03
186,19,Audit,Partner H,2023-03-12,2023-06-14
187,9,Tax Advisory,Partner E,2023-06-01,2024-01-28
188,36,Risk Assessment,Partner E,2023-10-05,2023-11-28
189,34,Audit,Partner D,2023-06-07,2024-02-01
190,1,Tax Advisory,Partner B,2023-02-24,2023-10-23
191,25,Audit,Partner E,2023-11-29,2024-05-10
192,17,Management Consulting,Partner H,2023-12-03,2024-01-31
193,11,Tax Advisory,Partner A,2023-03-01,
194,43,IT Advisory,Partner H,2023-05-21,2023-08-17
195,32,Management Consulting,Partner D,2023-05-02,2023-10-07
196,39,IT Advisory,Partner E,2023-11-26,2024-01-21
197,43,IT Advisory,Partner B,2024-01-01,2024-05-09
198,59,Management Consulting,Partner E,2023-12-30,2024-02-15
199,49,Risk Assessment,Partner B,2024-04-14,2024-09-10
200,38,Management Consulting,Partner C,2024-01-20,2024-02-14
201,53,Risk Assessment,Partner F,2023-06-10,2023-12-17
202,29,Risk Assessment,Partner A,2023-02-23,2023-03-28
203,60,Management Consulting,Partner D,2023-11-04,2024-01-09
204,46,IT Advisory,Partner E,2024-04-03,2024-06-03
205,40,Tax Advisory,Partner B,2024-05-02,
206,55,Risk Assessment,Partner C,2023-04-26,2023-05-28
207,31,IT Advisory,Partner C,2023-04-29,2023-08-30
208,44,Risk Assessment,Partner F,2023-01-19,2023-06-29
209,18,Tax Advisory,Partner H,2023-03-12,2023-08-02
210,58,IT Advisory,Partner G,2023-10-05,2024-04-05
211,38,Management Consulting,Partner B,2023-10-01,2024-04-30
212,47,Audit,Partner A,2023-07-05,2023-10-27
213,28,Audit,Partner A,2023-06-04,2024-01-08
214,53,Management Consulting,Partner E,2024-02-19,2024-05-25
215,5,Tax Advisory,Partner B,2023-08-19,2024-05-01
216,7,Audit,Partner B,2024-02-09,2024-06-29
217,31,Management Consulting,Partner G,2024-04-26,2024-11-08
218,44,IT Advisory,Partner G,2023-06-08,2024-01-24
219,49,Tax Advisory,Partner G,2023-04-12,2023-11-08
220,27,Risk Assessment,Partner C,2024-04-21,2024-12-01
